timestamp,car_position_x,car_position_y,angle,speed,sensor_distances,traffic_light_state,action_taken,reward,ai_mode
green,0.07947328024720127,0.3366918085747128,177.15216772741698,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_right"": true}",-211.0,hybrid
green,0.07947328024720127,0.3341918085747128,-176.84783227258305,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_left"": true}",-211.0,hybrid
green,0.07947328024720127,0.3316918085747128,177.15216772741698,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_right"": true}",-211.0,hybrid
green,0.07947328024720127,0.3291918085747128,-176.84783227258305,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_left"": true}",-211.0,hybrid
green,0.07947328024720127,0.3266918085747128,177.15216772741698,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_right"": true}",-211.0,hybrid
green,0.07947328024720127,0.3241918085747128,-176.84783227258305,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_left"": true}",-211.0,hybrid
green,0.07947328024720127,0.3216918085747128,177.15216772741698,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_right"": true}",-211.0,hybrid
green,0.07947328024720127,0.3191918085747128,-176.84783227258305,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_left"": true}",-211.0,hybrid
green,0.07947328024720127,0.3166918085747128,177.15216772741698,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_right"": true}",-211.0,hybrid
green,0.07947328024720127,0.31419180857471285,-176.84783227258305,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_left"": true}",-211.0,hybrid
green,0.07947328024720127,0.31169180857471285,177.15216772741698,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_right"": true}",-211.0,hybrid
green,0.07947328024720127,0.30919180857471285,-176.84783227258305,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_left"": true}",-211.0,hybrid
green,0.07947328024720127,0.30669180857471284,177.15216772741698,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_right"": true}",-211.0,hybrid
green,0.07947328024720127,0.30419180857471284,-176.84783227258305,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_left"": true}",-211.0,hybrid
green,0.07947328024720127,0.30169180857471284,177.15216772741698,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_right"": true}",-211.0,hybrid
green,0.07947328024720127,0.29919180857471284,-176.84783227258305,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_left"": true}",-211.0,hybrid
green,0.07947328024720127,0.29669180857471283,177.15216772741698,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_right"": true}",-211.0,hybrid
green,0.07947328024720127,0.29419180857471283,-176.84783227258305,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_left"": true}",-211.0,hybrid
green,0.07947328024720127,0.29169180857471283,177.15216772741698,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_right"": true}",-211.0,hybrid
green,0.07947328024720127,0.2891918085747128,-176.84783227258305,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_left"": true}",-211.0,hybrid
green,0.07947328024720127,0.2866918085747128,177.15216772741698,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_right"": true}",-211.0,hybrid
green,0.07947328024720127,0.2841918085747128,-176.84783227258305,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_left"": true}",-211.0,hybrid
